,Sample,Detector,Avg 3m Ct1,Avg 3m Ct2,Avg 3m Ct3,Media 3m ct,Avg 6m Ct1,Avg 6m Ct2,Media 6m ct,MEDIA CT 12 MESI,RQ1 3m ,RQ2 3m,RQ3 3m,Media RQ 3m,RQ1 6m,RQ2 6m,Media RQ 6m,RQ 12 MESI,Targets
536,HF_3mesi:setA_1,mmu-miR-540-3p-001310,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Luzp2,Tjp3,0610010B08Rik,Gm14326,Ccnd2,Six4,Lars2,5430427O19Rik,Gm14434,Gm14430,Gm14325"
537,"LF_3mesi,setA_1",mmu-miR-540-3p-001310,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Luzp2,Tjp3,0610010B08Rik,Gm14326,Ccnd2,Six4,Lars2,5430427O19Rik,Gm14434,Gm14430,Gm14325"
538,HF_3mesi:setA_1,mmu-miR-540-5p-002561,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Slc26a1,Abi2"
539,"LF_3mesi,setA_1",mmu-miR-540-5p-002561,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Slc26a1,Abi2"
540,HF_3mesi:setA_1,mmu-miR-542-3p-001284,34.976,36.009,37.044,36.0096666666667,0.0,35.52,35.52,0.0,1.063,1.534,9.134,3.91033333333333,0.0,0.113,0.113,0.286448299884796,"Gnb4,Nceh1,Ago4,Atm,Slc1a2,Camk1d,Pigr,Nectin4,Plekhf2,Vps33b,Zfp932,Pdxk,Tmem106a,Rnf170,Cd1d1,Zfhx3,Ncan,Acsm2"
541,"LF_3mesi,setA_1",mmu-miR-542-3p-001284,35.375,36.192,40.0,37.189,0.0,32.189,32.189,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,"Gnb4,Nceh1,Ago4,Atm,Slc1a2,Camk1d,Pigr,Nectin4,Plekhf2,Vps33b,Zfp932,Pdxk,Tmem106a,Rnf170,Cd1d1,Zfhx3,Ncan,Acsm2"
542,HF_3mesi:setA_1,mmu-miR-542-5p-002563,34.941,40.0,33.192,36.0443333333333,35.745,33.62,34.6825,0.0,26.883,0.0,3.034,14.9585,1.618,6.1,3.859,0.425672709941864,"Triml1,Trpc7"
543,"LF_3mesi,setA_1",mmu-miR-542-5p-002563,40.0,40.0,34.557,38.1856666666667,35.942,36.043,35.9925,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,"Triml1,Trpc7"
544,HF_3mesi:setA_1,mmu-miR-543-002376,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.851786613464356,
545,"LF_3mesi,setA_1",mmu-miR-543-002376,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
